"FullName","Length","CreationTime","LastWriteTime"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-a..lient-taskscheduler_31bf3856ad364e35_10.0.26100.1_none_2bd0cd5c727966f1.manifest","777","4/1/2024 2:21:48 AM","4/1/2024 2:21:48 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-d..ition-taskscheduler_31bf3856ad364e35_10.0.26100.1_none_03e07c21617697cd.manifest","362","4/1/2024 2:21:47 AM","4/1/2024 2:21:47 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-dxptasks-sync_31bf3856ad364e35_10.0.26100.1150_none_2a914e735d8a8ba9.manifest","747","3/2/2025 4:58:16 PM","3/2/2025 4:58:16 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-dxptasks-sync_31bf3856ad364e35_10.0.26100.8115_none_2a8ce8ad5d8e9283.manifest","745","4/15/2026 1:02:57 AM","4/15/2026 1:02:57 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-e..sync-schedule-tasks_31bf3856ad364e35_10.0.26100.1_none_dde1a43f21b2e16d.manifest","811","4/1/2024 3:08:17 AM","3/31/2024 5:14:00 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-f..configuration-tasks_31bf3856ad364e35_10.0.26100.1591_none_4ba7734c3fa28850.manifest","1633","3/2/2025 4:58:12 PM","3/2/2025 4:58:12 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-f..configuration-tasks_31bf3856ad364e35_10.0.26100.8328_none_4bb57ef03f993e85.manifest","1834","5/6/2026 8:47:52 AM","5/6/2026 8:47:52 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-f..configuration-tasks_31bf3856ad364e35_10.0.26100.8521_none_4ba07e903fa8c300.manifest","1847","6/9/2026 8:29:58 PM","6/9/2026 8:29:58 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-f..ent-desktop-tasksch_31bf3856ad364e35_10.0.26100.1_none_d7ca02323a7c3c58.manifest","748","4/1/2024 2:21:45 AM","4/1/2024 2:21:45 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-f..ettingsclient-tasks_31bf3856ad364e35_10.0.26100.1_none_b64b8fbe296664a3.manifest","1073","4/1/2024 2:21:39 AM","4/1/2024 2:21:39 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-f..ettingsclient-tasks_31bf3856ad364e35_10.0.26100.8328_none_5525ee2870d75797.manifest","1084","5/6/2026 8:47:52 AM","5/6/2026 8:47:52 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-fsrm-taskschedule_31bf3856ad364e35_10.0.26100.1_none_7cbed188e08722b2.manifest","846","4/1/2024 2:21:53 AM","4/1/2024 2:21:53 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-ie-impexp-extexport_31bf3856ad364e35_11.0.26100.1150_none_0d9d250a9ce416ba.manifest","358","3/2/2025 4:58:16 PM","3/2/2025 4:58:16 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-ie-impexp-extexport_31bf3856ad364e35_11.0.26100.8115_none_0d98bf449ce81d94.manifest","357","4/15/2026 1:02:58 AM","4/15/2026 1:02:58 AM"
